date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month
2015-03-11,2,sewing,Wednesday,8,0.7,30.48,914.0,6840,30,0.0,0,1,57,0.700505263,3
2015-02-02,1,finishing,Monday,1,0.75,3.94,0,2280,0,0.0,0,0,19,0.504596491,2
2015-01-05,1,finishing,Monday,10,0.75,2.9,0,960,0,0.0,0,0,8,0.763375,1
2015-02-12,2,finishing,Thursday,4,0.7,4.15,0,1800,0,0.0,0,0,15,1.0,2
2015-01-08,2,sewing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31,0.800107143,1
2015-01-18,3,sewing,Sunday,5,0.6,20.4,1031.0,10440,30,0.0,0,0,58,0.600062696,1
2015-02-08,2,finishing,Sunday,9,0.8,3.94,0,960,0,0.0,0,0,8,0.607416667,2
2015-02-25,4,sewing,Wednesday,3,0.75,29.4,1283.0,6960,45,0.0,0,2,58,0.750206897,2
2015-01-05,1,finishing,Monday,4,0.8,3.94,0,3840,0,0.0,0,0,16,0.893663194,1
2015-01-08,2,finishing,Thursday,10,0.75,3.94,0,1440,0,0.0,0,0,8,0.779791667,1
2015-02-01,1,finishing,Sunday,8,0.65,4.15,0,960,0,0.0,0,0,8,1.0,2
2015-03-04,1,finishing,Wednesday,4,0.7,3.94,0,960,0,0.0,0,0,8,0.806058333,3
2015-01-21,3,sewing,Wednesday,3,0.7,22.52,1139.0,10260,63,0.0,0,0,57,0.750068049,1
2015-01-08,2,sewing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30,0.800024932,1
2015-02-18,3,finishing,Wednesday,3,0.5,5.13,0,960,0,0.0,0,0,8,0.2565,2
2015-02-18,3,sewing,Wednesday,1,0.8,22.52,1374.0,3960,63,0.0,0,0,57,0.800279693,2
2015-01-13,2,sewing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56,0.850136766,1
2015-01-18,3,sewing,Sunday,12,0.8,26.87,585.0,5670,56,0.0,0,0,31,0.662255892,1
2015-01-15,3,sewing,Thursday,7,0.8,25.9,1281.0,10170,60,0.0,0,0,56,0.850136766,1
2015-02-26,4,finishing,Thursday,6,0.75,2.9,0,3360,0,0.0,0,0,8,0.271875,2
2015-01-28,4,finishing,Wednesday,11,0.5,2.9,0,960,0,0.0,0,0,8,0.259375,1
2015-01-22,4,finishing,Thursday,3,0.7,3.94,0,12000,0,0.0,0,0,20,0.460578704,1
2015-02-02,1,finishing,Monday,10,0.8,3.94,0,1200,0,0.0,0,0,10,0.85695,2
2015-02-04,1,sewing,Wednesday,5,0.65,30.1,326.0,5820,0,90.0,10,0,58,0.650834808,2
2015-02-18,3,finishing,Wednesday,8,0.7,5.13,0,960,0,0.0,0,0,8,0.58,2
2015-02-12,2,sewing,Thursday,8,0.65,30.1,1193.0,7080,0,0.0,0,1,59,0.463403955,2
2015-03-07,1,sewing,Saturday,12,0.8,15.26,986.0,4080,75,0.0,0,0,34,0.850520588,3
2015-02-02,1,sewing,Monday,6,0.7,18.79,2984.0,3960,30,0.0,0,0,33,0.700354545,2
2015-02-24,4,sewing,Tuesday,7,0.75,30.1,739.0,5640,45,0.0,0,1,59,0.750727326,2
2015-02-14,2,sewing,Saturday,8,0.7,30.1,824.0,5160,0,0.0,0,1,60,0.700206125,2
2015-02-03,1,sewing,Tuesday,4,0.8,22.52,340.0,5460,63,0.0,0,0,56,0.800434622,2
2015-01-17,3,finishing,Saturday,7,0.8,2.9,0,1440,0,0.0,0,0,8,0.661837121,1
2015-02-05,1,sewing,Thursday,6,0.7,18.79,766.0,2760,30,0.0,0,0,33,0.700079032,2
2015-02-18,3,sewing,Wednesday,7,0.75,30.1,553.0,2280,45,0.0,0,1,59,0.75053268,2
2015-02-12,2,sewing,Thursday,6,0.8,18.79,779.0,3960,0,0.0,0,0,33,0.688017677,2
2015-01-03,1,finishing,Saturday,7,0.8,3.94,0,960,0,0.0,0,0,8,0.6253125,1
2015-01-03,1,sewing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56,0.800125,1
2015-01-14,2,finishing,Wednesday,5,0.65,4.15,0,1440,0,0.0,0,0,15,0.864583333,1
2015-01-25,4,sewing,Sunday,10,0.75,22.52,1413.0,10080,69,0.0,0,0,56,0.800020563,1
2015-01-08,2,sewing,Thursday,2,0.8,28.08,783.0,10050,63,0.0,0,0,58,0.800497246,1
2015-02-28,4,sewing,Saturday,12,0.8,15.26,1194.0,1700,62,0.0,0,0,34,0.800260821,2
2015-02-18,3,sewing,Wednesday,11,0.7,11.41,685.0,3360,30,0.0,0,2,56,0.8211125,2
2015-01-01,1,sewing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30,0.800570492,1
2015-02-03,1,sewing,Tuesday,3,0.8,22.52,1112.0,6840,100,0.0,0,0,57,0.950185965,2
2015-02-14,2,finishing,Saturday,9,0.8,3.94,0,960,0,0.0,0,0,8,0.238041667,2
2015-03-03,1,sewing,Tuesday,3,0.8,29.4,1156.0,6840,50,0.0,0,0,57,0.800333333,3
2015-01-22,4,finishing,Thursday,4,0.75,4.3,0,9000,0,0.0,0,0,15,0.670216049,1
2015-02-17,3,sewing,Tuesday,7,0.7,30.1,562.0,840,30,0.0,0,1,59,0.700888203,2
2015-02-03,1,finishing,Tuesday,12,0.8,4.08,0,1080,0,0.0,0,0,9,0.778222222,2
2015-02-24,4,sewing,Tuesday,3,0.75,29.4,1172.0,5340,45,0.0,0,2,60,0.750176991,2
2015-02-24,4,finishing,Tuesday,3,0.8,4.6,0,1440,0,0.0,0,0,12,0.811388889,2
2015-01-22,4,finishing,Thursday,7,0.6,3.94,0,6000,0,0.0,0,0,10,0.957638889,1
2015-03-04,1,sewing,Wednesday,2,0.5,15.28,261.0,5520,0,0.0,0,1,46,0.404144928,3
2015-01-06,1,sewing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55,0.750057851,1
2015-02-05,1,sewing,Thursday,4,0.5,30.1,417.0,6360,23,0.0,0,1,53,0.500720126,2
2015-03-10,2,sewing,Tuesday,6,0.7,23.41,1180.0,4560,30,0.0,0,1,38,0.700246491,3
2015-01-27,4,sewing,Tuesday,10,0.8,22.52,1134.0,6720,70,0.0,0,0,56,0.900129762,1
2015-02-16,3,sewing,Monday,9,0.6,18.79,2103.0,5400,0,0.0,0,1,54,0.329964879,2
2015-03-04,1,sewing,Wednesday,12,0.8,15.26,961.0,4080,50,0.0,0,0,34,0.800401961,3
2015-02-16,3,sewing,Monday,3,0.65,30.1,1263.0,600,63,0.0,0,1,58,0.802243319,2
2015-03-11,2,sewing,Wednesday,10,0.75,21.82,1674.0,6000,34,0.0,0,0,50,0.750608,3
2015-01-13,2,sewing,Tuesday,6,0.8,11.61,1004.0,5670,50,0.0,0,0,31,0.800246753,1
2015-02-10,2,finishing,Tuesday,12,0.8,4.08,0,1080,0,0.0,0,0,9,1.0,2
2015-01-31,4,finishing,Saturday,4,0.8,3.94,0,1200,0,0.0,0,0,10,0.971866667,1
2015-02-16,3,finishing,Monday,3,0.5,4.15,0,960,0,0.0,0,0,8,0.864583333,2
2015-01-24,4,finishing,Saturday,11,0.75,4.15,0,1800,0,0.0,0,0,10,0.896022727,1
2015-01-05,1,finishing,Monday,9,0.8,2.9,0,1920,0,0.0,0,0,8,0.820833333,1
2015-01-05,1,finishing,Monday,2,0.8,3.94,0,960,0,0.0,0,0,8,0.804416667,1
2015-01-28,4,sewing,Wednesday,8,0.7,38.09,336.0,6240,0,0.0,0,0,52,0.467693269,1
2015-01-12,2,sewing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53,0.64998056,1
2015-01-01,1,sewing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30,0.707045902,1
2015-03-01,1,finishing,Sunday,8,0.75,4.6,0,3360,0,0.0,0,0,8,0.813611111,3
2015-02-07,1,finishing,Saturday,6,0.75,2.9,0,960,0,0.0,0,0,8,0.845833333,2
2015-01-18,3,finishing,Sunday,5,0.6,4.15,0,1440,0,0.0,0,0,8,0.852793561,1
2015-01-24,4,finishing,Saturday,4,0.75,4.3,0,2160,0,0.0,0,0,12,0.651515152,1
2015-02-14,2,finishing,Saturday,12,0.8,4.08,0,1080,0,0.0,0,0,9,0.800888889,2
2015-03-07,1,sewing,Saturday,10,0.7,21.82,1251.0,6000,30,0.0,0,0,50,0.700422,3
2015-02-10,2,finishing,Tuesday,9,0.8,3.94,0,960,0,0.0,0,0,8,0.6895,2
2015-03-08,2,sewing,Sunday,5,0.5,26.82,711.0,7080,23,0.0,0,1,59,0.500033898,3
2015-01-28,4,sewing,Wednesday,6,0.35,18.79,511.0,1800,23,0.0,0,0,32,0.437995338,1
2015-03-01,1,sewing,Sunday,9,0.75,18.79,895.0,6240,34,0.0,0,0,52,0.750395513,3
2015-02-01,1,sewing,Sunday,6,0.65,18.79,881.0,3960,26,0.0,0,0,33,0.651007071,2
2015-01-26,4,finishing,Monday,1,0.7,3.94,0,1800,0,0.0,0,0,10,0.910378788,1
2015-03-08,2,sewing,Sunday,12,0.8,15.26,1064.0,4080,63,0.0,0,0,34,0.800401961,3
2015-02-15,3,sewing,Sunday,7,0.7,30.1,881.0,7080,0,0.0,0,1,59,0.700632768,2
2015-01-26,4,finishing,Monday,4,0.75,4.3,0,2160,0,0.0,0,0,12,0.963699495,1
2015-01-15,3,sewing,Thursday,4,0.65,22.52,872.0,10080,26,0.0,0,0,56,0.650130952,1
2015-02-07,1,sewing,Saturday,12,0.8,15.26,1021.0,4080,63,0.0,0,0,34,0.800401961,2
2015-01-13,2,sewing,Tuesday,10,0.35,22.4,715.0,10170,23,0.0,0,0,56,0.35020649,1
2015-02-01,1,sewing,Sunday,12,0.75,15.26,1276.0,1440,45,0.0,0,0,35,0.750450658,2
2015-01-01,1,sewing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30,0.800570492,1
2015-01-01,1,finishing,Thursday,2,0.75,3.94,0,960,0,0.0,0,0,8,0.755166667,1
2015-01-18,3,sewing,Sunday,11,0.65,14.89,1140.0,10260,44,0.0,0,0,57,0.650299575,1
2015-03-09,2,sewing,Monday,10,0.7,21.82,1576.0,6000,30,0.0,0,0,50,0.700422,3
2015-01-24,4,finishing,Saturday,9,0.6,3.94,0,1440,0,0.0,0,0,8,0.261174242,1
2015-03-04,1,finishing,Wednesday,8,0.8,4.6,0,960,0,0.0,0,0,8,0.930416667,3
2015-01-12,2,finishing,Monday,10,0.8,3.94,0,1440,0,0.0,0,0,8,0.24625,1
2015-01-28,4,finishing,Wednesday,6,0.35,2.9,0,1800,0,0.0,0,0,15,0.977555556,1
2015-01-03,1,sewing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59,0.800318644,1
2015-03-10,2,sewing,Tuesday,10,0.75,21.82,1499.0,6000,34,0.0,0,0,50,0.750608,3
2015-02-03,1,finishing,Tuesday,8,0.7,4.15,0,960,0,0.0,0,0,8,0.976979167,2
2015-01-21,3,sewing,Wednesday,2,0.7,22.94,1422.0,10500,60,0.0,0,0,57,0.800415742,1
2015-03-10,2,sewing,Tuesday,1,0.75,26.82,1574.0,7080,75,0.0,0,0,59,0.900061017,3
2015-01-26,4,finishing,Monday,7,0.65,3.94,0,1440,0,0.0,0,0,8,0.646306818,1
2015-01-26,4,sewing,Monday,9,0.7,29.12,1143.0,10440,40,0.0,0,0,58,0.70061442,1
2015-02-12,2,sewing,Thursday,1,0.8,22.52,1397.0,0,138,0.0,0,0,57,1.0,2
2015-01-31,4,sewing,Saturday,4,0.8,22.52,1432.0,6660,88,0.0,0,0,57,0.900537069,1
2015-03-03,1,sewing,Tuesday,2,0.4,15.28,157.0,5400,0,6.5,30,1,45,0.30277037,3
2015-03-02,1,finishing,Monday,7,0.8,4.6,0,3360,0,0.0,0,0,8,0.342361111,3
2015-01-14,2,finishing,Wednesday,10,0.8,3.94,0,1260,0,0.0,0,0,8,0.332359307,1
2015-01-17,3,finishing,Saturday,8,0.8,2.9,0,1440,0,0.0,0,0,8,0.675568182,1
2015-01-03,1,sewing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54,0.800322936,1
2015-01-19,3,sewing,Monday,12,0.35,15.26,1111.0,6120,23,0.0,0,0,34,0.35021836,1
2015-02-19,3,sewing,Thursday,6,0.75,18.79,899.0,3960,56,0.0,0,0,33,0.75065101,2
2015-01-04,1,sewing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56,0.850345133,1
2015-01-19,3,finishing,Monday,4,0.7,4.3,0,5040,0,0.0,0,0,28,0.977272727,1
2015-01-07,1,sewing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59,0.850502311,1
2015-02-16,3,sewing,Monday,6,0.75,18.79,895.0,3960,0,0.0,0,0,33,0.75065101,2
2015-01-04,1,sewing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55,0.75024303,1
2015-03-08,2,sewing,Sunday,1,0.75,26.82,1254.0,6960,65,0.0,0,0,58,0.85007069,3
2015-01-12,2,finishing,Monday,11,0.8,4.15,0,1440,0,0.0,0,0,8,0.640577652,1
2015-01-07,1,sewing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58,0.8,1
2015-02-01,1,finishing,Sunday,6,0.6,2.9,0,1200,0,0.0,0,0,10,0.314166667,2
2015-02-28,4,sewing,Saturday,7,0.8,30.1,644.0,840,38,0.0,0,1,59,0.799982853,2
2015-02-05,1,sewing,Thursday,10,0.8,22.52,1039.0,6720,113,0.0,0,0,56,0.999995238,2
2015-01-05,1,sewing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32,0.800246011,1
2015-02-04,1,finishing,Wednesday,2,0.8,3.94,0,2160,0,0.0,0,0,18,0.966759259,2
2015-02-12,2,sewing,Thursday,7,0.65,30.1,909.0,7080,0,0.0,0,1,59,0.535677966,2
2015-02-26,4,finishing,Thursday,2,0.7,3.9,0,960,0,0.0,0,0,8,0.5565625,2
2015-01-24,4,finishing,Saturday,1,0.7,3.94,0,1440,0,0.0,0,0,8,0.578314394,1
2015-02-23,4,finishing,Monday,12,0.8,5.13,0,1080,0,0.0,0,0,9,0.9025,2
2015-02-15,3,sewing,Sunday,4,0.75,30.1,919.0,7140,0,0.0,0,1,59,0.598627451,2
2015-02-12,2,finishing,Thursday,9,0.8,3.94,0,960,0,0.0,0,0,8,0.656666667,2
2015-03-03,1,sewing,Tuesday,9,0.75,18.79,1096.0,6240,34,0.0,0,0,52,0.750395513,3
2015-01-25,4,sewing,Sunday,2,0.75,22.94,1636.0,10530,81,0.0,0,0,58,0.850223776,1
2015-01-28,4,sewing,Wednesday,4,0.8,22.52,1342.0,6780,50,0.0,0,0,56,0.800489676,1
2015-01-19,3,sewing,Monday,2,0.7,22.94,1006.0,10170,38,0.0,0,0,56,0.750517565,1
2015-02-24,4,finishing,Tuesday,11,0.7,2.9,0,960,0,0.0,0,0,8,0.5046875,2
2015-01-18,3,sewing,Sunday,1,0.8,49.1,1381.0,10350,24,0.0,0,0,57,0.403242161,1
2015-02-04,1,sewing,Wednesday,4,0.35,30.1,287.0,6060,23,150.0,15,0,55,0.350706422,2
2015-02-17,3,sewing,Tuesday,10,0.65,18.22,741.0,0,0,8.0,35,1,49,0.302117347,2
2015-01-31,4,finishing,Saturday,12,0.75,4.08,0,1080,0,0.0,0,0,9,0.971866667,1
2015-02-17,3,finishing,Tuesday,12,0.8,5.13,0,1080,0,0.0,0,0,9,0.9025,2
2015-01-25,4,sewing,Sunday,3,0.75,22.52,1495.0,10350,55,0.0,0,0,57,0.800513307,1
2015-02-11,2,sewing,Wednesday,2,0.8,22.52,1557.0,0,90,0.0,0,0,57,1.0,2
2015-01-04,1,finishing,Sunday,11,0.75,4.15,0,960,0,0.0,0,0,8,0.345833333,1
2015-02-25,4,finishing,Wednesday,2,0.7,3.9,0,960,0,0.0,0,0,8,0.440375,2
2015-01-06,1,sewing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57,0.800594466,1
2015-02-19,3,finishing,Thursday,2,0.8,5.13,0,3600,0,0.0,0,0,15,0.710125,2
2015-03-07,1,finishing,Saturday,4,0.7,3.94,0,960,0,0.0,0,0,8,0.664875,3
2015-01-20,3,finishing,Tuesday,11,0.7,4.15,0,2700,0,0.0,0,0,15,0.362666667,1
2015-02-25,4,sewing,Wednesday,4,0.8,30.1,323.0,4080,50,0.0,0,1,59,0.800808642,2
2015-01-17,3,finishing,Saturday,10,0.8,3.94,0,1440,0,0.0,0,0,8,0.974621212,1
2015-02-09,2,sewing,Monday,9,0.8,29.12,1073.0,6960,50,0.0,0,0,58,0.799963218,2
2015-02-08,2,finishing,Sunday,12,0.8,4.08,0,1080,0,0.0,0,0,9,0.891555556,2
2015-01-21,3,sewing,Wednesday,10,0.7,22.52,1206.0,10080,75,0.0,0,0,56,0.800020563,1
2015-02-17,3,sewing,Tuesday,1,0.8,22.52,1445.0,6840,113,0.0,0,0,57,1.0,2
2015-02-01,1,finishing,Sunday,1,0.75,3.94,0,2280,0,0.0,0,0,19,0.950438596,2
2015-02-08,2,sewing,Sunday,5,0.7,30.1,754.0,7020,0,0.0,0,0,58,0.700618234,2
2015-01-29,4,finishing,Thursday,10,0.8,3.94,0,1200,0,0.0,0,0,10,0.85695,1
2015-02-11,2,sewing,Wednesday,5,0.75,30.1,788.0,7380,56,0.0,0,0,59,0.750406233,2
2015-01-11,2,sewing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58,0.8,1
2015-02-25,4,finishing,Wednesday,12,0.8,4.6,0,1800,0,0.0,0,0,15,0.899555556,2
2015-02-12,2,finishing,Thursday,2,0.8,3.94,0,2160,0,0.0,0,0,18,0.601944444,2
2015-01-07,1,finishing,Wednesday,4,0.8,3.94,0,4440,0,0.0,0,0,18,0.827186544,1
2015-01-21,3,finishing,Wednesday,11,0.7,4.15,0,2700,0,0.0,0,0,9,0.470769231,1
2015-01-14,2,finishing,Wednesday,4,0.35,4.3,0,2700,0,0.0,0,0,8,0.908080808,1
2015-02-26,4,finishing,Thursday,3,0.8,4.6,0,6300,0,0.0,0,0,15,0.921703704,2
2015-03-02,1,sewing,Monday,6,0.75,18.79,947.0,2880,34,0.0,0,0,33,0.750797009,3
2015-02-03,1,sewing,Tuesday,9,0.75,29.12,1070.0,6960,34,0.0,0,0,58,0.750593103,2
2015-03-11,2,finishing,Wednesday,10,0.75,2.9,0,960,0,0.0,0,0,8,0.628333333,3
2015-02-11,2,sewing,Wednesday,12,0.8,15.26,854.0,4080,50,0.0,0,0,34,0.800401961,2
2015-01-15,3,finishing,Thursday,1,0.8,3.94,0,1440,0,0.0,0,0,8,0.884261364,1
2015-01-28,4,sewing,Wednesday,2,0.8,22.52,1559.0,6840,90,0.0,0,0,57,1.0,1
2015-03-10,2,finishing,Tuesday,11,0.8,2.9,0,960,0,0.0,0,0,8,0.758229167,3
2015-01-20,3,sewing,Tuesday,8,0.8,25.9,1434.0,10170,50,0.0,0,0,56,0.800128721,1
2015-02-08,2,sewing,Sunday,9,0.8,29.12,909.0,6960,50,0.0,0,0,58,0.799963218,2
2015-02-01,1,finishing,Sunday,10,0.8,3.94,0,1200,0,0.0,0,0,10,0.8865,2
2015-03-02,1,sewing,Monday,1,0.65,26.66,1527.0,6840,65,0.0,0,0,57,0.800579532,3
2015-01-11,2,sewing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58,0.8,1
2015-01-08,2,sewing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55,0.800273829,1
2015-03-10,2,finishing,Tuesday,9,0.75,2.9,0,1800,0,0.0,0,0,15,0.821666667,3
2015-02-14,2,sewing,Saturday,7,0.7,30.1,957.0,7200,0,0.0,0,1,60,0.602,2
2015-03-08,2,finishing,Sunday,5,0.5,3.94,0,960,0,0.0,0,0,8,0.857916667,3
2015-01-05,1,finishing,Monday,7,0.8,3.94,0,960,0,0.0,0,0,8,0.676666667,1
2015-01-28,4,sewing,Wednesday,5,0.6,20.79,1045.0,6960,88,0.0,0,0,58,0.800534483,1
2015-02-16,3,finishing,Monday,12,0.8,4.08,0,1080,0,0.0,0,0,9,0.891555556,2
2015-02-14,2,sewing,Saturday,5,0.75,30.1,664.0,7140,56,0.0,0,0,59,0.750392157,2
2015-01-03,1,sewing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31,0.800148649,1
2015-01-28,4,finishing,Wednesday,2,0.8,3.94,0,1800,0,0.0,0,0,15,0.902222222,1
2015-01-10,2,sewing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53,0.673245283,1
2015-01-14,2,sewing,Wednesday,12,0.8,11.61,1159.0,2970,50,0.0,0,0,31,0.800313433,1
2015-01-18,3,sewing,Sunday,10,0.7,22.52,1002.0,10080,40,0.0,0,0,56,0.700094156,1
2015-01-20,3,sewing,Tuesday,11,0.7,14.89,1501.0,10260,50,0.0,0,0,57,0.700170388,1
2015-01-19,3,finishing,Monday,10,0.7,3.94,0,1440,0,0.0,0,0,8,0.538399621,1
2015-01-17,3,sewing,Saturday,7,0.8,25.9,1396.0,10170,50,0.0,0,0,56,0.800128721,1
2015-02-26,4,finishing,Thursday,5,0.8,4.6,0,7560,0,0.0,0,0,18,0.921604938,2
2015-01-06,1,sewing,Tuesday,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56,0.800128721,1
2015-01-27,4,finishing,Tuesday,12,0.7,4.15,0,1080,0,0.0,0,0,9,0.823555556,1
2015-03-03,1,sewing,Tuesday,8,0.75,29.4,534.0,6840,56,0.0,0,0,57,0.750473684,3
2015-02-24,4,sewing,Tuesday,4,0.8,30.1,901.0,6480,50,0.0,0,1,59,0.800071839,2
2015-02-04,1,sewing,Wednesday,2,0.8,22.52,1263.0,6900,100,0.0,0,0,57,1.0,2
2015-02-09,2,sewing,Monday,1,0.8,22.52,1506.0,3600,70,0.0,0,0,57,0.900509044,2
2015-02-11,2,sewing,Wednesday,3,0.8,22.52,11.0,6840,0,0.0,0,1,57,0.536901754,2
2015-02-16,3,sewing,Monday,7,0.7,30.1,784.0,600,30,0.0,0,1,59,0.700459889,2
2015-02-14,2,sewing,Saturday,12,0.8,15.26,942.0,4080,63,0.0,0,0,34,0.800401961,2
2015-02-19,3,finishing,Thursday,5,0.75,5.13,0,1920,0,0.0,0,0,8,0.631354167,2
2015-01-05,1,sewing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59,0.850569492,1
2015-03-04,1,sewing,Wednesday,1,0.7,26.82,1772.0,6960,50,0.0,0,0,58,0.750651724,3
2015-03-07,1,finishing,Saturday,11,0.8,2.9,0,960,0,0.0,0,0,8,0.657083333,3
2015-02-19,3,sewing,Thursday,2,0.65,30.33,841.0,6840,0,0.0,0,1,57,0.585315789,2
2015-03-05,1,sewing,Thursday,4,0.7,26.82,1117.0,7080,50,0.0,0,0,59,0.750050847,3
2015-03-11,2,finishing,Wednesday,8,0.7,3.9,0,960,0,0.0,0,0,8,0.625625,3
2015-01-18,3,sewing,Sunday,6,0.8,11.41,1140.0,5490,63,0.0,0,0,30,0.800343766,1
2015-01-14,2,sewing,Wednesday,10,0.5,22.4,947.0,3390,23,0.0,0,0,56,0.499980334,1
2015-02-26,4,sewing,Thursday,10,0.7,21.82,1591.0,3240,0,0.0,0,1,52,0.700251773,2
2015-02-25,4,finishing,Wednesday,10,0.7,2.9,0,1200,0,0.0,0,0,10,0.845833333,2
2015-01-18,3,sewing,Sunday,2,0.65,22.94,1025.0,10170,26,0.0,0,0,56,0.650243497,1
2015-01-31,4,finishing,Saturday,5,0.7,3.94,0,240,0,0.0,0,0,2,0.971866667,1
2015-01-13,2,sewing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59,0.850502311,1
2015-01-22,4,sewing,Thursday,8,0.8,40.99,980.0,10770,30,0.0,0,0,56,0.555500132,1
2015-01-13,2,sewing,Tuesday,5,0.7,20.79,1297.0,10440,0,0.0,0,0,58,0.526810345,1
2015-03-07,1,sewing,Saturday,11,0.8,11.41,471.0,3420,50,0.0,0,0,58,0.800034503,3
2015-02-23,4,finishing,Monday,2,0.8,5.13,0,960,0,0.0,0,0,8,0.36871875,2
2015-03-04,1,sewing,Wednesday,3,0.8,29.4,1169.0,6840,63,0.0,0,0,57,0.800333333,3
2015-01-18,3,sewing,Sunday,9,0.8,26.16,1381.0,3660,50,0.0,0,0,59,0.800015009,1
2015-03-08,2,finishing,Sunday,12,0.8,4.6,0,1080,0,0.0,0,0,9,0.945555556,3
2015-02-09,2,sewing,Monday,6,0.75,18.79,708.0,4080,0,0.0,0,0,34,0.612517157,2
2015-02-15,3,finishing,Sunday,2,0.8,3.94,0,960,0,0.0,0,0,8,1.0,2
2015-02-24,4,sewing,Tuesday,11,0.75,11.61,698.0,3360,34,0.0,0,2,57,0.750437269,2
2015-03-09,2,sewing,Monday,12,0.8,15.26,1132.0,4080,63,0.0,0,0,34,0.800401961,3
2015-01-14,2,sewing,Wednesday,6,0.8,11.61,972.0,5670,38,0.0,0,0,31,0.800246753,1
2015-02-14,2,finishing,Saturday,1,0.8,3.94,0,1440,0,0.0,0,0,12,0.796208333,2
2015-03-08,2,finishing,Sunday,2,0.7,3.9,0,1200,0,0.0,0,0,10,0.884,3
2015-01-05,1,sewing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55,0.800250962,1
2015-01-06,1,sewing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55,0.800273829,1
2015-02-01,1,sewing,Sunday,2,0.8,22.52,1396.0,6900,113,0.0,0,0,57,1.0,2
